Case ID,Name,Hyperlink,Type,Contents,Data Domain,Responsible Office,Access Levels,Power BI Workspaces,Include
1,Academic Program Review and Revitalization,https://app.powerbi.com/groups/b98a8ec7-54b2-4a8a-86af-35faab818004/reports/5d6d52a7-cfd6-4080-ad93-bb434bdf4230/ReportSection3f3d540c2b5787230238,Power BI Dashboard,Programs by 5-year change in enrollment; headcounts; degrees conferred; admission funnel; enrolled terms to degree by graduation year; program demand trends; undergraduate student learning outcomes; freshman retention and completion rates,Program,Office of Institutional Research and Assessment,Internal,Administrative Analytics,Yes
3,Employee Headcounts and Salary Trends,https://app.powerbi.com/groups/b98a8ec7-54b2-4a8a-86af-35faab818004/reports/c373b7ff-d2ca-4dfa-8a55-887cb46f1512/ReportSection,Power BI Dashboard,"Faculty and staff headcount by department; USS trends; salary increases;  faculty salary equity by rank, race and gender; faculty salary by time in rank; faculty salary gap by college and EEO category;",Employee,Office of Institutional Research and Assessment,Restricted,Administrative Analytics,Yes
4,Faculty Salary Benchmarking,https://app.powerbi.com/groups/b98a8ec7-54b2-4a8a-86af-35faab818004/reports/c29ab6bf-b6f6-4743-b8e8-1d1d4bf5a31c/ReportSection,Power BI Dashboard,Faculty salary comparison across institutions; faculty salary comparison within instiutions by discipline and college; individual faculty salary query;,Employee,Office of Institutional Research and Assessment,Restricted,Administrative Analytics,Yes
12,Revenue Estimate,https://app.powerbi.com/groups/b98a8ec7-54b2-4a8a-86af-35faab818004/reports/31edb16d-5805-41c0-a7cc-b1299cdfba18/ReportSection,Power BI Dashboard,New program revenue estimates by program features,Program,Office of Institutional Research and Assessment,Internal,Administrative Analytics,Yes
14,"Teaching, Research, and Service Activity",https://app.powerbi.com/groups/b98a8ec7-54b2-4a8a-86af-35faab818004/reports/2e94eac8-7625-4834-a8ce-ef39db01b8f3/ReportSection07d113158f9f1be5acec,Power BI Dashboard,"Teaching, research and service activity by department and employee category",Employee,Office of Institutional Research and Assessment,Internal,Administrative Analytics,Yes
15,Common Data Set,https://www.k-state.edu/pa/data/common-data-set/,Website,"Common data set from 1999 to the most recent. The Common Data Set (CDS) initiative is a collaborative effort among data providers in the higher education community and publishers as represented by the College Board, Thomson Peterson's, and U.S. News & World Report. ",Comprehensive,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
16,Faculty and Staff Reports and Historical Information Page,https://www.k-state.edu/pa/data/faculty/,Website,"Faculty and staff headcounts, facultsy salary data, faculty demographics",Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
17,Faculty and Staff Headcount,https://www.k-state.edu/pa/data/faculty/10yearTotals%20Headcounts.pdf,PDF,Faculty and staff headcount by year,Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
18,IPEDS Human Resources Report,https://www.k-state.edu/pa/data/faculty/demographics/ipeds/index.html,PDF,IPEDS human resource survey reports from FY1998 to the most recent,Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
19,Faculty Diversity and Demographics,https://www.k-state.edu/pa/data/faculty/demographics/DiversityFaculty2023.pdf,PDF,"Faculty distribution by category, race and gender in three years",Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
20,Staff Diversity and Demographics,https://www.k-state.edu/pa/data/faculty/demographics/staff.pdf,PDF,"Staff distribution by category, race and gender in three years",Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
21,Faculty and Staff 5-Year Total University Demographics,https://www.k-state.edu/pa/data/faculty/demographics/fact/totdemo.FY%202023.pdf,PDF,Faculty headcounts by demographics over the past five years,Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
22,Faculty and Staff 5-Year Total University Demographics,https://www.k-state.edu/pa/data/faculty/demographics/fact/totdemo.FY%202023.xlsx,Excel,Faculty headcounts by demographics over the past five years,Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
23,Faculty Salary and Fringe Benefits Report,https://www.k-state.edu/pa/data/faculty/salary/Faculty%20Salary%20and%20Fringe%20Benefits%20Reports.pdf,PDF,Faculty salary comparison and trend between K-State and other Big Twelve institutions,Employee,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
24,University Interactive Dashboard,https://www.k-state.edu/pa/data/factbook.html,Power BI Dashboard,"Enrollment, enrollment trends, credit hours, degrees, retenetion and graduation, faculty and staff headcounts",Comprehensive,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
25,Student Table Page,https://www.k-state.edu/pa/data/student/,Website,"Enrollment, degrees conferred, credit hours, retention and graduation, housing, post-graduation statistics dashboard, application-admiision statistics, tuition and fees",Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
26,Student Enrollment historical 1863 to present,https://www.k-state.edu/pa/data/student/studentfb/HistoricalFallEnrollments.1863-present.pdf,PDF,Student headcounts from  1863 to present,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
27,Student Enrollment historical 1863 to present,https://www.k-state.edu/pa/data/student/studentfb/HistoricalFallEnrollments.1863-present.xlsx,Excel,Student headcounts from  1863 to present,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
28,Student Enrollment - Total University,https://www.k-state.edu/pa/data/student/studentfb/totdemo.Fall2022.pdf,PDF,Student headcounts by college over the past five years,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
29,Student Enrollment - Total University,https://www.k-state.edu/pa/data/student/studentfb/totdemo.Fall2022.xlsx,Excel,Student headcounts by college over the past five years,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
30,Student FTE,https://www.k-state.edu/pa/data/student/studentfb/fte.pdf,PDF,Student FTE by academic level and year,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
31,Student FTE,https://www.k-state.edu/pa/data/student/studentfb/fte.xlsx,Excel,Student FTE by academic level and year,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
32,Student Enrollment - Undergraduate,https://www.k-state.edu/pa/data/student/studentfb/ugdemo.pdf,PDF,Undergraduate student headcounts by demographics over the past five years,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
33,Student Enrollment - Undergraduate,https://www.k-state.edu/pa/data/student/studentfb/ugdemo.xlsx,Excel,Undergraduate student headcounts by demographics over the past five years,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
34,Student Enrnollment - Graduate,https://www.k-state.edu/pa/data/student/studentfb/graddemo.pdf,PDF,Graduate student headcounts by demographics over the past five years,Student,Office of Institutional Research and Assessment,Public,OIRA Website,Yes
